;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;city_code;product;product_type
10/Rice/temporary;25500.0;45000.0;58500.0;58500.0;7000.0;15000.0;7188.0;330.0;2744.0;2296.0;2933.0;913.0;1522.0;165.0;640.0;3010.0;640.0;165.0;640.0;3955.0;142.0;0ea136556d12fc16;Rice;temporary
100/Beans/temporary;300.0;300.0;200.0;300.0;350.0;300.0;500.0;15.0;500.0;500.0;500.0;500.0;700.0;10.0;15.0;500.0;20.0;10.0;20.0;500.0;15.0;a454a6655aaaaaed;Beans;temporary
100/Cassava/temporary;1200.0;1950.0;5500.0;2000.0;3000.0;3000.0;3000.0;7000.0;4000.0;6000.0;6000.0;6000.0;8000.0;5000.0;7000.0;6000.0;7000.0;5000.0;8000.0;4000.0;8000.0;a454a6655aaaaaed;Cassava;temporary
100/Corn/temporary;1000.0;1000.0;1500.0;1200.0;1600.0;1500.0;4000.0;650.0;5000.0;5000.0;4000.0;5000.0;5000.0;420.0;650.0;4000.0;800.0;550.0;2500.0;6000.0;650.0;a454a6655aaaaaed;Corn;temporary
100/Livestock/pasture;24957.04687;24329.56312;25566.21659;28320.76528;29295.19868;29652.68802;30269.98392;30434.43222;30458.91516;29862.43517;29224.32091;30843.48468;32019.44933;31927.75727;31351.03487;30585.56112;31108.03616;31811.938;31908.81548;32673.47855;33755.33034;a454a6655aaaaaed;Livestock;pasture
100/Others/permanent;484.0;466.0;492.0;472.0;447.0;541.0;641.0;729.0;560.0;525.0;485.0;365.0;380.0;380.0;175.0;160.0;165.0;165.0;250.0;245.0;125.0;a454a6655aaaaaed;Others;permanent
100/Others/temporary;225.0;200.0;120.0;80.0;90.0;100.0;120.0;120.0;140.0;144.0;206.0;255.0;505.0;255.0;85.0;90.0;50.0;50.0;75.0;62.0;10.0;a454a6655aaaaaed;Others;temporary
100/Palm oil/permanent;50.0;50.0;50.0;10.0;50.0;550.0;50.0;350.0;350.0;350.0;50.0;350.0;350.0;50.0;50.0;550.0;50.0;50.0;350.0;50.0;350.0;a454a6655aaaaaed;Palm oil;permanent
100/Rice/temporary;50.0;50.0;80.0;50.0;80.0;80.0;150.0;;200.0;100.0;200.0;30.0;30.0;;;200.0;;;;200.0;;a454a6655aaaaaed;Rice;temporary
101/Beans/temporary;250.0;350.0;280.0;350.0;150.0;230.0;1500.0;;1000.0;600.0;430.0;300.0;600.0;;;750.0;50.0;;50.0;1500.0;200.0;a4d1e1ff1bc3b830;Beans;temporary
101/Cassava/temporary;2200.0;1500.0;1500.0;1500.0;1500.0;1200.0;1200.0;650.0;1500.0;1500.0;1500.0;1500.0;1100.0;650.0;750.0;1100.0;600.0;65.0;700.0;1300.0;800.0;a4d1e1ff1bc3b830;Cassava;temporary
101/Corn/temporary;600.0;800.0;750.0;800.0;500.0;700.0;400.0;75.0;280.0;200.0;210.0;150.0;200.0;75.0;75.0;210.0;70.0;55.0;100.0;300.0;100.0;a4d1e1ff1bc3b830;Corn;temporary
101/Livestock/pasture;24347.66803;24642.57047;27541.28393;31769.56423;34162.4015;36164.50105;37098.71275;37274.44293;37458.08641;36332.52017;34084.74036;36796.37535;39179.64995;39530.50082;37474.57504;35249.39925;35169.77346;35497.77191;35008.99993;35133.48953;35776.69864;a4d1e1ff1bc3b830;Livestock;pasture
101/Others/permanent;412.0;387.0;387.0;325.0;265.0;205.0;205.0;405.0;400.0;460.0;460.0;425.0;425.0;425.0;225.0;66.0;66.0;135.0;135.0;160.0;160.0;a4d1e1ff1bc3b830;Others;permanent
101/Others/temporary;70.0;80.0;30.0;20.0;20.0;25.0;40.0;50.0;40.0;50.0;50.0;20.0;20.0;15.0;15.0;10.0;5.0;5.0;5.0;5.0;0.0;a4d1e1ff1bc3b830;Others;temporary
101/Palm oil/permanent;4200.0;2400.0;4200.0;4200.0;;2400.0;4200.0;;;2400.0;2000.0;4200.0;4200.0;1200.0;10000.0;;4200.0;;;10320.0;4200.0;a4d1e1ff1bc3b830;Palm oil;permanent
101/Rice/temporary;50.0;30.0;40.0;30.0;25.0;30.0;10.0;;175.0;8.0;170.0;50.0;78.0;;;10.0;40.0;;50.0;10.0;;a4d1e1ff1bc3b830;Rice;temporary
102/Beans/temporary;85.0;150.0;180.0;183.0;180.0;180.0;280.0;130.0;150.0;100.0;150.0;80.0;100.0;80.0;50.0;80.0;100.0;40.0;100.0;280.0;25.0;a51be58f39d1d625;Beans;temporary
102/Cassava/temporary;10000.0;10000.0;11000.0;10000.0;11000.0;11000.0;15000.0;30000.0;6000.0;7000.0;5000.0;9000.0;9000.0;12000.0;15000.0;5000.0;15000.0;12000.0;9000.0;15000.0;12000.0;a51be58f39d1d625;Cassava;temporary
102/Corn/temporary;200.0;120.0;180.0;180.0;300.0;250.0;300.0;260.0;400.0;600.0;300.0;330.0;330.0;10.0;200.0;600.0;200.0;20.0;350.0;370.0;20.0;a51be58f39d1d625;Corn;temporary
102/Livestock/pasture;57017.04457;55179.37538;52703.06455;53596.32107;54945.08171;55360.98545;50733.97255;52758.52066;53179.74217;53742.69352;54200.32016;49637.57538;48903.01116;48364.33286;44463.90987;45881.02357;49515.30732;50736.768;56568.97772;73328.80346;72031.30006;a51be58f39d1d625;Livestock;pasture
102/Others/permanent;198.0;112.0;134.0;153.0;215.0;204.0;188.0;225.0;125.0;95.0;100.0;90.0;70.0;66.0;53.0;69.0;62.0;104.0;45.0;24.0;50.0;a51be58f39d1d625;Others;permanent
102/Others/temporary;126.0;429.0;386.0;384.0;330.0;384.0;220.0;401.0;152.0;592.0;322.0;357.0;397.0;301.0;372.0;432.0;362.0;363.0;259.0;238.0;307.0;a51be58f39d1d625;Others;temporary
102/Rice/temporary;5.0;30.0;30.0;8.0;55.0;55.0;40.0;20.0;30.0;14.0;5.0;14.0;14.0;10.0;10.0;7.0;15.0;15.0;10.0;48.0;5.0;a51be58f39d1d625;Rice;temporary
103/Livestock/pasture;2039.823141;2064.669363;2163.247098;2209.988583;2237.782835;2229.381669;2165.301886;2010.421214;1875.201768;1658.742924;1553.374436;1626.571174;1564.191623;1515.485021;1399.391355;1210.54867;1045.29988;1088.645306;1117.780752;1187.937668;1211.531799;a7187a1b5b870cf4;Livestock;pasture
103/Others/permanent;0.0;14.0;8.0;48.0;48.0;0.0;0.0;0.0;0.0;1100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;a7187a1b5b870cf4;Others;permanent
103/Others/temporary;0.0;8.0;4.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;a7187a1b5b870cf4;Others;temporary
104/Beans/temporary;55.0;52.0;55.0;30.0;20.0;120.0;20.0;50.0;24.0;119.0;24.0;20.0;119.0;60.0;40.0;119.0;45.0;60.0;18.0;20.0;60.0;ab984377b2dc0284;Beans;temporary
104/Cassava/temporary;650.0;630.0;504.0;504.0;350.0;580.0;350.0;180.0;200.0;150.0;200.0;160.0;150.0;200.0;270.0;160.0;220.0;400.0;200.0;350.0;180.0;ab984377b2dc0284;Cassava;temporary
104/Cocoa/permanent;20.0;11.0;11.0;11.0;11.0;11.0;18.0;11.0;20.0;11.0;20.0;35.0;20.0;110.0;120.0;11.0;10.0;35.0;25.0;35.0;11.0;ab984377b2dc0284;Cocoa;permanent
104/Corn/temporary;150.0;140.0;250.0;250.0;20.0;130.0;20.0;95.0;100.0;160.0;100.0;20.0;160.0;150.0;95.0;160.0;90.0;150.0;28.0;25.0;100.0;ab984377b2dc0284;Corn;temporary
104/Livestock/pasture;94814.97801;117058.9333;119906.1499;105371.5095;111238.1091;117665.5631;107447.8774;106785.0544;99740.96411;86282.94424;79621.56478;71621.65879;80757.04212;92181.99118;95072.06695;88661.82917;78308.32719;77334.62684;93955.78862;100782.7764;91470.61488;ab984377b2dc0284;Livestock;pasture
104/Others/permanent;65.0;71.0;116.0;127.0;122.0;99.0;94.0;99.0;157.0;147.0;212.0;213.0;207.0;208.0;200.0;210.0;231.0;231.0;152.0;152.0;173.0;ab984377b2dc0284;Others;permanent
104/Others/temporary;32.0;46.0;46.0;41.0;85.0;38.0;38.0;36.0;44.0;44.0;56.0;56.0;56.0;36.0;40.0;51.0;75.0;75.0;30.0;27.0;75.0;ab984377b2dc0284;Others;temporary
104/Rice/temporary;370.0;355.0;20.0;20.0;65.0;60.0;65.0;;250.0;258.0;250.0;70.0;258.0;;;258.0;90.0;;62.0;300.0;;ab984377b2dc0284;Rice;temporary
105/Beans/temporary;800.0;780.0;1100.0;1200.0;700.0;650.0;810.0;230.0;630.0;750.0;900.0;520.0;750.0;200.0;230.0;900.0;550.0;400.0;520.0;810.0;200.0;abcadd700f8948e3;Beans;temporary
105/Cassava/temporary;1200.0;600.0;600.0;600.0;900.0;1300.0;900.0;850.0;1200.0;1200.0;1200.0;1200.0;850.0;850.0;850.0;850.0;1200.0;850.0;850.0;900.0;1250.0;abcadd700f8948e3;Cassava;temporary
105/Corn/temporary;250.0;600.0;400.0;600.0;280.0;380.0;500.0;350.0;550.0;600.0;720.0;415.0;480.0;350.0;350.0;720.0;350.0;200.0;415.0;575.0;300.0;abcadd700f8948e3;Corn;temporary
105/Livestock/pasture;47224.41622;50271.51162;56954.16972;66119.31985;67090.46675;69105.53738;71623.16388;68083.90074;69023.9568;77558.12401;79131.23421;75863.48331;77559.16449;79338.6553;78372.28025;75786.95242;75386.02037;77166.65097;77672.22289;79005.30631;78568.02555;abcadd700f8948e3;Livestock;pasture
105/Others/permanent;216.0;418.0;426.0;391.0;460.0;455.0;450.0;570.0;568.0;558.0;558.0;635.0;625.0;605.0;605.0;590.0;590.0;590.0;590.0;391.0;480.0;abcadd700f8948e3;Others;permanent
105/Others/temporary;80.0;100.0;30.0;30.0;30.0;50.0;350.0;400.0;400.0;350.0;350.0;300.0;250.0;200.0;200.0;180.0;180.0;180.0;180.0;60.0;20.0;abcadd700f8948e3;Others;temporary
105/Rice/temporary;80.0;50.0;40.0;55.0;40.0;50.0;45.0;40.0;150.0;80.0;120.0;40.0;50.0;40.0;40.0;120.0;40.0;10.0;40.0;20.0;20.0;abcadd700f8948e3;Rice;temporary
106/Beans/temporary;520.0;800.0;900.0;1350.0;1400.0;950.0;1600.0;700.0;1200.0;1100.0;1600.0;400.0;500.0;700.0;900.0;950.0;700.0;900.0;470.0;1350.0;900.0;ad622472210b0b57;Beans;temporary
106/Cassava/temporary;8400.0;5500.0;5100.0;5000.0;4275.0;5500.0;4700.0;4600.0;5000.0;4400.0;4000.0;3830.0;4840.0;5060.0;4600.0;4000.0;4600.0;10330.0;4500.0;4700.0;10330.0;ad622472210b0b57;Cassava;temporary
106/Corn/temporary;1150.0;1250.0;1350.0;1300.0;1400.0;1380.0;1400.0;1800.0;1200.0;960.0;1200.0;1665.0;1650.0;2000.0;2000.0;960.0;1800.0;1800.0;1750.0;1400.0;900.0;ad622472210b0b57;Corn;temporary
106/Livestock/pasture;112507.2781;113668.405;119504.51;135431.5473;144465.0556;153231.4508;164850.2021;155595.7274;153155.7361;170478.5998;179977.7471;176592.7916;181642.808;183327.4041;180079.5834;176885.8874;178825.0557;187119.2294;188834.0918;193552.1877;194590.4184;ad622472210b0b57;Livestock;pasture
106/Others/permanent;518.0;540.0;408.0;376.0;372.0;414.0;475.0;609.0;687.0;755.0;767.0;752.0;749.0;704.0;714.0;814.0;700.0;590.0;590.0;735.0;585.0;ad622472210b0b57;Others;permanent
106/Others/temporary;65.0;50.0;104.0;76.0;86.0;110.0;130.0;128.0;128.0;190.0;308.0;304.0;402.0;532.0;552.0;552.0;250.0;220.0;235.0;240.0;240.0;ad622472210b0b57;Others;temporary
106/Rice/temporary;410.0;210.0;200.0;180.0;200.0;190.0;230.0;150.0;200.0;190.0;210.0;180.0;180.0;150.0;150.0;199.0;180.0;60.0;185.0;210.0;60.0;ad622472210b0b57;Rice;temporary
107/Beans/temporary;800.0;800.0;600.0;800.0;650.0;600.0;750.0;1100.0;1530.0;1515.0;1530.0;1494.0;1134.0;1100.0;1100.0;1340.0;1100.0;600.0;1100.0;800.0;600.0;ae345f007f327b22;Beans;temporary
107/Cassava/temporary;4000.0;5600.0;5600.0;5600.0;4700.0;4100.0;2500.0;2960.0;2500.0;4000.0;2500.0;2000.0;4000.0;3000.0;3100.0;4800.0;4000.0;1600.0;4000.0;2500.0;2200.0;ae345f007f327b22;Cassava;temporary
107/Cocoa/permanent;1640.0;2130.0;1770.0;5400.0;2085.0;2085.0;5400.0;3858.0;2330.0;1610.0;4310.0;4199.0;2296.0;3858.0;2296.0;1640.0;4199.0;4312.0;2085.0;1540.0;3565.0;ae345f007f327b22;Cocoa;permanent
107/Corn/temporary;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;2300.0;4350.0;4320.0;4320.0;3555.0;3555.0;2300.0;2300.0;4320.0;3300.0;2000.0;3020.0;4320.0;2000.0;ae345f007f327b22;Corn;temporary
107/Livestock/pasture;182437.7195;196034.5943;200683.5516;205837.7765;203660.1808;208302.2671;227982.3851;259447.6309;289402.2041;332371.6614;348631.1456;355202.3618;372944.2877;397642.6604;403923.3382;384332.6325;388345.4693;414486.7403;438924.6809;459345.1043;480411.2602;ae345f007f327b22;Livestock;pasture
107/Others/permanent;1249.0;1431.0;1431.0;2181.0;3076.0;2536.0;2514.0;2462.0;2388.0;2258.0;1954.0;2221.0;1546.0;1510.0;1640.0;1445.0;1617.0;1927.0;1697.0;1117.0;1117.0;ae345f007f327b22;Others;permanent
107/Others/temporary;182.0;222.0;218.0;228.0;227.0;47.0;60.0;60.0;60.0;50.0;69.0;52.0;67.0;81.0;89.0;89.0;170.0;160.0;115.0;43.0;43.0;ae345f007f327b22;Others;temporary
107/Rice/temporary;14000.0;14000.0;9000.0;14000.0;4800.0;6000.0;4800.0;600.0;4545.0;3500.0;4535.0;2700.0;2700.0;200.0;800.0;3500.0;1600.0;300.0;1890.0;5040.0;300.0;ae345f007f327b22;Rice;temporary
108/Beans/temporary;300.0;300.0;400.0;400.0;450.0;500.0;205.0;100.0;226.0;150.0;220.0;150.0;150.0;45.0;100.0;121.0;150.0;55.0;150.0;205.0;55.0;b0e4b4b27117562a;Beans;temporary
108/Cassava/temporary;1600.0;1000.0;1600.0;1600.0;1600.0;1700.0;1600.0;1180.0;1600.0;1800.0;1600.0;1500.0;1800.0;1200.0;1200.0;1800.0;1500.0;520.0;1500.0;1600.0;420.0;b0e4b4b27117562a;Cassava;temporary
108/Cocoa/permanent;2990.0;3816.0;1200.0;1840.0;1840.0;1224.0;1017.0;1430.0;2390.0;910.0;4169.0;1224.0;3816.0;1200.0;2990.0;1200.0;4169.0;1590.0;1200.0;1590.0;3060.0;b0e4b4b27117562a;Cocoa;permanent
108/Corn/temporary;2400.0;4000.0;3200.0;3200.0;1570.0;3380.0;1570.0;130.0;777.0;360.0;770.0;380.0;360.0;200.0;130.0;225.0;235.0;300.0;285.0;1196.0;300.0;b0e4b4b27117562a;Corn;temporary
108/Livestock/pasture;125966.8528;134217.5304;141046.091;143679.0074;146095.9303;147459.0655;154494.0896;168840.1507;172546.7936;177631.0714;176784.1432;171440.8778;169658.1021;172609.421;174855.5484;166788.5492;160557.0082;161775.027;164749.1893;154891.7929;154902.981;b0e4b4b27117562a;Livestock;pasture
108/Others/permanent;963.0;917.0;918.0;946.0;1313.0;1157.0;1137.0;1137.0;1017.0;1070.0;1112.0;1004.0;1004.0;833.0;993.0;1266.0;1401.0;1296.0;640.0;371.0;471.0;b0e4b4b27117562a;Others;permanent
108/Others/temporary;285.0;310.0;308.0;138.0;93.0;93.0;93.0;93.0;93.0;93.0;35.0;45.0;45.0;97.0;55.0;33.0;15.0;15.0;33.0;40.0;43.0;b0e4b4b27117562a;Others;temporary
108/Rice/temporary;2500.0;3000.0;2600.0;2400.0;1100.0;1350.0;1100.0;100.0;644.0;360.0;709.0;350.0;360.0;40.0;100.0;200.0;200.0;40.0;262.0;1075.0;40.0;b0e4b4b27117562a;Rice;temporary
109/Beans/temporary;10.0;50.0;70.0;60.0;60.0;40.0;60.0;16.0;70.0;70.0;70.0;10.0;;18.0;21.0;70.0;14.0;18.0;10.0;60.0;18.0;b4829f1e221d9778;Beans;temporary
109/Cassava/temporary;1000.0;1500.0;1650.0;1650.0;1700.0;1700.0;1700.0;30.0;2100.0;3600.0;3000.0;2500.0;3600.0;80.0;30.0;3000.0;1000.0;40.0;1000.0;1900.0;50.0;b4829f1e221d9778;Cassava;temporary
109/Corn/temporary;300.0;350.0;350.0;350.0;250.0;250.0;250.0;80.0;700.0;600.0;600.0;50.0;600.0;90.0;70.0;600.0;60.0;100.0;60.0;465.0;100.0;b4829f1e221d9778;Corn;temporary
109/Livestock/pasture;14161.77642;14264.38392;14597.10213;13499.10754;15315.11881;16012.54333;16962.54793;19688.99423;18497.47256;18365.32661;18202.47684;18740.80931;20697.10784;20609.8093;19896.42873;20051.96904;20693.9387;22024.47431;23586.41969;25300.48641;25860.01661;b4829f1e221d9778;Livestock;pasture
109/Others/permanent;91.0;92.0;93.0;93.0;95.0;95.0;95.0;90.0;72.0;70.0;70.0;90.0;90.0;98.0;95.0;95.0;5.0;5.0;10.0;5.0;5.0;b4829f1e221d9778;Others;permanent
109/Others/temporary;21.0;7.0;8.0;3.0;14.0;54.0;132.0;183.0;234.0;280.0;390.0;315.0;78.0;96.0;94.0;102.0;24.0;16.0;46.0;88.0;90.0;b4829f1e221d9778;Others;temporary
109/Rice/temporary;50.0;25.0;25.0;25.0;10.0;18.0;370.0;10.0;835.0;35.0;40.0;6.0;10.0;10.0;8.0;40.0;6.0;5.0;5.0;440.0;5.0;b4829f1e221d9778;Rice;temporary
11/Beans/temporary;130.0;66.0;60.0;57.0;60.0;55.0;60.0;30.0;65.0;65.0;;35.0;65.0;45.0;45.0;;35.0;20.0;35.0;60.0;20.0;1096f26c5a236d0b;Beans;temporary
11/Cassava/temporary;552.0;552.0;400.0;400.0;500.0;500.0;500.0;90.0;300.0;150.0;150.0;60.0;150.0;130.0;100.0;200.0;80.0;60.0;70.0;500.0;60.0;1096f26c5a236d0b;Cassava;temporary
11/Corn/temporary;800.0;900.0;1400.0;1200.0;1200.0;1000.0;1400.0;700.0;850.0;600.0;1060.0;670.0;600.0;1200.0;900.0;870.0;700.0;600.0;700.0;1400.0;700.0;1096f26c5a236d0b;Corn;temporary
11/Livestock/pasture;67412.70653;70067.40394;71922.59469;75388.25065;79228.44162;78920.05933;81067.58198;84842.89817;87213.32084;88862.48307;88639.63348;89256.57626;89591.67486;90764.37947;90043.47086;91663.02937;92663.4884;92567.88347;92677.2043;94356.37733;95371.18139;1096f26c5a236d0b;Livestock;pasture
11/Others/permanent;355.0;630.0;610.0;370.0;470.0;540.0;300.0;300.0;90.0;100.0;300.0;600.0;600.0;600.0;700.0;700.0;700.0;500.0;510.0;550.0;570.0;1096f26c5a236d0b;Others;permanent
11/Others/temporary;10.0;12.0;10.0;8.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;25.0;15.0;1096f26c5a236d0b;Others;temporary
11/Rice/temporary;1000.0;1000.0;1200.0;1100.0;1150.0;960.0;1260.0;;650.0;370.0;560.0;250.0;370.0;;150.0;500.0;250.0;;250.0;1260.0;;1096f26c5a236d0b;Rice;temporary
110/Beans/temporary;30.0;30.0;40.0;30.0;161.0;83.0;100.0;;100.0;140.0;100.0;100.0;140.0;50.0;;100.0;100.0;28.0;100.0;50.0;28.0;b4bb04d2a6472ea0;Beans;temporary
110/Cassava/temporary;80.0;40.0;25.0;40.0;30.0;30.0;30.0;50.0;50.0;25.0;25.0;50.0;25.0;30.0;50.0;25.0;50.0;30.0;50.0;50.0;30.0;b4bb04d2a6472ea0;Cassava;temporary
110/Corn/temporary;5.0;;20.0;16.0;80.0;20.0;90.0;;50.0;13.0;10.0;10.0;13.0;30.0;;10.0;10.0;15.0;10.0;30.0;15.0;b4bb04d2a6472ea0;Corn;temporary
110/Livestock/pasture;21033.9211;28319.97319;28350.60417;24318.28317;19695.68824;20741.31179;20743.81465;19463.22557;17955.4712;17315.80497;18909.12931;23303.1805;22400.54719;20297.27143;20366.48808;13366.82221;13836.99464;19792.67529;22816.65669;23552.59429;23455.07945;b4bb04d2a6472ea0;Livestock;pasture
110/Others/permanent;312.0;336.0;337.0;155.0;155.0;231.0;229.0;235.0;235.0;206.0;206.0;100.0;100.0;100.0;100.0;100.0;70.0;70.0;48.0;35.0;35.0;b4bb04d2a6472ea0;Others;permanent
110/Others/temporary;3.0;6.0;270.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;6.0;6.0;b4bb04d2a6472ea0;Others;temporary
110/Rice/temporary;20.0;10.0;40.0;30.0;30.0;40.0;30.0;;10.0;6.0;10.0;5.0;6.0;;;10.0;5.0;;5.0;10.0;;b4bb04d2a6472ea0;Rice;temporary
111/Beans/temporary;110.0;300.0;238.0;317.0;550.0;265.0;380.0;160.0;385.0;305.0;295.0;325.0;425.0;165.0;165.0;295.0;285.0;100.0;195.0;385.0;84.0;b73e63cd3a2904c9;Beans;temporary
111/Cassava/temporary;13000.0;13000.0;15000.0;15000.0;15000.0;15000.0;15700.0;15000.0;7500.0;7000.0;7500.0;9000.0;7000.0;18000.0;12000.0;7500.0;10000.0;15000.0;9000.0;15000.0;16000.0;b73e63cd3a2904c9;Cassava;temporary
111/Corn/temporary;1200.0;1500.0;700.0;1000.0;2180.0;1500.0;2075.0;170.0;2141.0;960.0;2008.0;1140.0;950.0;200.0;150.0;2048.0;1330.0;120.0;1300.0;2120.0;130.0;b73e63cd3a2904c9;Corn;temporary
111/Livestock/pasture;88424.71417;88903.30668;93826.64724;92358.7117;98839.60087;97414.08871;101182.3725;104634.5523;106834.6325;107394.9062;102896.9937;102811.3034;109964.8401;113171.3318;111066.715;110478.12;113519.8515;115058.1044;112927.1998;117530.0556;114920.8304;b73e63cd3a2904c9;Livestock;pasture
111/Others/permanent;195.0;215.0;240.0;243.0;214.0;218.0;245.0;250.0;259.0;192.0;187.0;187.0;187.0;340.0;364.0;382.0;450.0;121.0;109.0;93.0;52.0;b73e63cd3a2904c9;Others;permanent
111/Others/temporary;85.0;67.0;75.0;64.0;61.0;53.0;65.0;75.0;82.0;135.0;144.0;133.0;183.0;155.0;140.0;158.0;163.0;187.0;195.0;177.0;108.0;b73e63cd3a2904c9;Others;temporary
111/Rice/temporary;150.0;200.0;200.0;200.0;500.0;400.0;703.0;20.0;1017.0;481.0;710.0;650.0;470.0;35.0;50.0;1012.0;330.0;35.0;600.0;1010.0;15.0;b73e63cd3a2904c9;Rice;temporary
